cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
28,0.056,2,0.829999268055,-0.000382605998311,0,70,4,-0.00153188413466,0,-0.00153188413466,-0.00153188413466,300,0,0.829999277494,-0.000382606006092,0.829999963406,-1.18035998125e-05,-6.85911544451e-07,-0.000370802406279,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.058,1,-0.399997800589,0.000838554056827,0,120,3,0.00271711068762,0,0.00271711068762,0.00271711068762,200,0,-0.399997794352,0.000838554040717,-0.399999949708,1.88152699764e-05,2.15535632353e-06,0.00081973877074,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.058,2,0.829998254776,-0.00067084323382,0,70,4,-0.00265699763127,0,-0.00265699763127,-0.00265699763127,300,0,0.829998235481,-0.000670843232565,0.829999892884,-3.52607178653e-05,-1.65740276636e-06,-0.0006355825147,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.06,1,-0.399995684624,0.00127971731126,0,120,3,0.00421909035089,0,0.00421909035089,0.00421909035089,200,0,-0.399995688741,0.00127971729101,-0.399999868306,4.07011409605e-05,4.17956462651e-06,0.00123901615005,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.06,2,0.829996526241,-0.00102377380244,0,70,4,-0.0040161473541,0,-0.0040161473541,-0.0040161473541,300,0,0.829996550993,-0.0010237738328,0.829999740897,-7.59934425183e-05,-3.18990434911e-06,-0.00094778039028,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.062,1,-0.399992614985,0.0017919576494,0,120,3,0.00600594377689,0,0.00600594377689,0.00600594377689,200,0,-0.399992628099,0.00179195765355,-0.399999719955,7.41752209905e-05,7.09185660419e-06,0.00171778243256,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.062,2,0.829994082451,-0.00143356609624,0,70,4,-0.0055605539716,0,-0.0055605539716,-0.0055605539716,300,0,0.829994102479,-0.00143356612283,0.829999465631,-0.000137633250786,-5.36315178323e-06,-0.00129593287204,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.064,1,-0.399988472462,0.00236552604474,0,120,3,0.00805390788846,0,0.00805390788846,0.00805390788846,200,0,-0.399988480026,0.00236552606963,-0.399999477752,0.000121101689768,1.09977258873e-05,0.00224442437986,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.064,2,0.829990804195,-0.00189242081251,0,70,4,-0.00725238448883,0,-0.00725238448883,-0.00725238448883,300,0,0.829990784021,-0.0018924208557,0.829999019448,-0.000223091602266,-8.23542670869e-06,-0.00166932925343,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.066,1,-0.399983137846,0.00299071404152,0,120,3,0.0103397470021,0,0.0103397470021,0.0103397470021,200,0,-0.399983131582,0.00299071402681,-0.399999111589,0.000183081429285,1.59800067709e-05,0.00280763259752,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.066,2,0.829986512661,-0.00239257118665,0,70,4,-0.00906008950496,0,-0.00906008950496,-0.00906008950496,300,0,0.829986505266,-0.00239257122144,0.829998350042,-0.000334702970811,-1.1844775761e-05,-0.00205786825063,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.068,1,-0.399976491928,0.00365785346366,0,120,3,0.0128407260225,0,0.0128407260225,0.0128407260225,200,0,-0.399976489203,0.00365785355889,-0.39999858863,0.000261479531178,2.2099426889e-05,0.00339637402771,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
