case,joint,joint_id,delay_steps,delay_s,eig_index,eig_real,eig_imag,eig_abs,eig_angle_rad
A,Knee,2,5,0.01,15,0.0007142860407227051,-0.0005235350996382131,0.0008856034939658446,-0.6324987342860935
B,Hip,1,0,0.0,0,0.14999924545321056,0.3570701423614921,0.38729686314581574,1.17309742881977
B,Hip,1,0,0.0,1,0.14999924545321056,-0.3570701423614921,0.38729686314581574,-1.17309742881977
B,Hip,1,0,0.0,2,0.9807101114020009,0.03284078933800504,0.9812598229064862,0.03347423640978954
B,Hip,1,0,0.0,3,0.9807101114020009,-0.03284078933800504,0.9812598229064862,-0.03347423640978954
B,Hip,1,0,0.0,4,0.7252843493316891,0.0,0.7252843493316891,0.0
B,Hip,1,0,0.0,5,0.20540777946942052,0.0,0.20540777946942052,0.0
B,Hip,1,1,0.002,0,0.9808976529879725,0.03373856340787092,0.9814777105457566,0.03438204572799705
B,Hip,1,1,0.002,1,0.9808976529879725,-0.03373856340787092,0.9814777105457566,-0.03438204572799705
B,Hip,1,1,0.002,2,0.7392676056374962,0.0,0.7392676056374962,0.0
B,Hip,1,1,0.002,3,0.14892185810307168,0.35749984322130307,0.3872774944715064,1.1760919902011548
B,Hip,1,1,0.002,4,0.14892185810307168,-0.35749984322130307,0.3872774944715064,-1.1760919902011548
B,Hip,1,1,0.002,5,0.19774805323100622,0.0,0.19774805323100622,0.0
B,Hip,1,1,0.002,6,-0.004543838539059622,0.0,0.004543838539059622,3.141592653589793
B,Hip,1,1,0.002,7,-1.894620021509527e-15,0.0,1.894620021509527e-15,3.141592653589793
B,Hip,1,2,0.004,0,0.9811526823264096,0.03468749028347394,0.9817656584024901,0.0353390964133717
B,Hip,1,2,0.004,1,0.9811526823264096,-0.03468749028347394,0.9817656584024901,-0.0353390964133717
B,Hip,1,2,0.004,2,0.7566883907747717,0.0,0.7566883907747717,0.0
B,Hip,1,2,0.004,3,0.14860993442080805,0.3604888894331276,0.3899194173329748,1.179778231161673
B,Hip,1,2,0.004,4,0.14860993442080805,-0.3604888894331276,0.3899194173329748,-1.179778231161673
B,Hip,1,2,0.004,5,0.1645097297251732,0.0,0.1645097297251732,0.0
B,Hip,1,2,0.004,6,0.005693744258623699,0.07230891477666974,0.07253273660811578,1.4922165246644243
B,Hip,1,2,0.004,7,0.005693744258623699,-0.07230891477666974,0.07253273660811578,-1.4922165246644243
B,Hip,1,2,0.004,8,-8.968176274482985e-08,0.0,8.968176274482985e-08,3.141592653589793
B,Hip,1,2,0.004,9,8.96816668549188e-08,0.0,8.96816668549188e-08,0.0
B,Hip,1,5,0.01,0,0.9824890803143231,0.0377921482425035,0.9832156627137649,0.038446763731982116
B,Hip,1,5,0.01,1,0.9824890803143231,-0.0377921482425035,0.9832156627137649,-0.038446763731982116
B,Hip,1,5,0.01,2,0.8182010532277835,0.0,0.8182010532277835,0.0
B,Hip,1,5,0.01,3,0.32564596571278503,0.36109908736392315,0.48624874897532694,0.8369772407743064
B,Hip,1,5,0.01,4,0.32564596571278503,-0.36109908736392315,0.48624874897532694,-0.8369772407743064
B,Hip,1,5,0.01,5,-0.3337310003639448,0.0,0.3337310003639448,3.141592653589793
B,Hip,1,5,0.01,6,-0.13280426943511825,0.3280950685180387,0.3539538783034479,1.9554112146356664
B,Hip,1,5,0.01,7,-0.13280426943511825,-0.3280950685180387,0.3539538783034479,-1.9554112146356664
B,Hip,1,5,0.01,8,0.13154095197596977,0.33676650130390645,0.3615448775010073,1.1984196825211322
B,Hip,1,5,0.01,9,0.13154095197596977,-0.33676650130390645,0.3615448775010073,-1.1984196825211322
B,Hip,1,5,0.01,10,0.0938973322778119,0.0,0.0938973322778119,0.0
B,Hip,1,5,0.01,11,-0.0017694105907656594,0.0,0.0017694105907656594,3.141592653589793
B,Hip,1,5,0.01,12,-0.0005392300228795438,0.0016805602860208207,0.0017649509603739862,1.8812821325860447
B,Hip,1,5,0.01,13,-0.0005392300228795438,-0.0016805602860208207,0.0017649509603739862,-1.8812821325860447
B,Hip,1,5,0.01,14,0.0014239354352433226,0.0010293019569158032,0.001757001605648752,0.6259022109593204
B,Hip,1,5,0.01,15,0.0014239354352433226,-0.0010293019569158032,0.001757001605648752,-0.6259022109593204
B,Knee,2,0,0.0,0,0.23501579741701406,0.307866731094387,0.3873168588511202,0.9187940674289321
B,Knee,2,0,0.0,1,0.23501579741701406,-0.307866731094387,0.3873168588511202,-0.9187940674289321
B,Knee,2,0,0.0,2,0.9534227723884481,0.03841860176523109,0.9541965058993194,0.040273663880595494
B,Knee,2,0,0.0,3,0.9534227723884481,-0.03841860176523109,0.9541965058993194,-0.040273663880595494
B,Knee,2,0,0.0,4,0.7745624768450471,0.0,0.7745624768450471,0.0
B,Knee,2,0,0.0,5,0.19082473521917273,0.0,0.19082473521917273,0.0
B,Knee,2,1,0.002,0,0.9505396148268214,0.04130602276838833,0.9514366751771053,0.04342801839991999
B,Knee,2,1,0.002,1,0.9505396148268214,-0.04130602276838833,0.9514366751771053,-0.04342801839991999
B,Knee,2,1,0.002,2,0.8085490009045921,0.0,0.8085490009045921,0.0
B,Knee,2,1,0.002,3,0.23221188081849475,0.3093953559644906,0.38684343588286035,0.926953242239821
B,Knee,2,1,0.002,4,0.23221188081849475,-0.3093953559644906,0.38684343588286035,-0.926953242239821
B,Knee,2,1,0.002,5,0.17788234148002446,0.0,0.17788234148002446,0.0
B,Knee,2,1,0.002,6,-0.009669982000108105,0.0,0.009669982000108105,3.141592653589793
B,Knee,2,1,0.002,7,3.2898345958528332e-15,0.0,3.2898345958528332e-15,0.0
B,Knee,2,2,0.004,0,0.9469265672759359,0.04583591648382581,0.9480352604481016,0.048367180608628345
B,Knee,2,2,0.004,1,0.9469265672759359,-0.04583591648382581,0.9480352604481016,-0.048367180608628345
B,Knee,2,2,0.004,2,0.8477487786086234,0.0,0.8477487786086234,0.0
B,Knee,2,2,0.004,3,0.2296520961794301,0.31640386226891626,0.39096226075964613,0.9429511804225567
B,Knee,2,2,0.004,4,0.2296520961794301,-0.31640386226891626,0.39096226075964613,-0.9429511804225567
B,Knee,2,2,0.004,5,0.005323041840266813,0.11112171048897129,0.11124913175583882,1.5229301100478843
B,Knee,2,2,0.004,6,0.005323041840266813,-0.11112171048897129,0.11124913175583882,-1.5229301100478843
