method,direction,acc_gain,row2_acc_torque_rms,row3_total_residual_rms,remaining_after_removing_row2_rms,row2_rms_share_percent
PD,knee_to_hip,0.2,0.35769551069827316,1.6886726744338372,1.884981246093258,15.949490251551346
PD,knee_to_hip,0.3,0.5365432660474098,1.6114606764634132,1.884981246093258,22.157251077053793
PD,knee_to_hip,0.4,0.7153910213965463,1.5511185194507744,1.884981246093258,27.511100250547155
PD,knee_to_hip,0.5,0.8942387767456829,1.5096704442245843,1.884981246093258,32.17588997621816
PD,knee_to_hip,0.6,1.0730865320948195,1.48869542826402,1.884981246093258,36.27660393745688
PD,knee_to_hip,0.7,1.2519342874439559,1.489058879054144,1.884981246093258,39.90972259403694
PD,knee_to_hip,0.8,1.4307820427930926,1.5107453960322441,1.884981246093258,43.15091030740142
PD,knee_to_hip,0.9,1.609629798142229,1.5528618731754957,1.884981246093258,46.06034198848491
PD,knee_to_hip,1.0,1.7884775534913657,1.6138095866236655,1.884981246093258,48.68647373134001
PD,knee_to_hip,1.1,1.9673253088405023,1.6915542574158338,1.884981246093258,51.068763110788574
PD,knee_to_hip,1.2,2.146173064189639,1.7839011376395462,1.884981246093258,53.23966534139016
PD,knee_to_hip,1.3,2.3250208195387754,1.888709551823295,1.884981246093258,55.226120635874985
PD,knee_to_hip,1.4,2.5038685748879117,2.0040252774384575,1.884981246093258,57.05067790011889
PD,knee_to_hip,1.5,2.6827163302370485,2.1281409476965734,1.884981246093258,58.73235443911209
PD,knee_to_hip,1.6,2.8615640855861852,2.259606937743886,1.884981246093258,60.28730130285502
PD,knee_to_hip,1.7,3.0404118409353216,2.397214252444821,1.884981246093258,61.729323674540645
PD,knee_to_hip,1.8,3.219259596284458,2.539964934863415,1.884981246093258,63.07029185528843
PD,knee_to_hip,1.9,3.3981073516335947,2.687039375917981,1.884981246093258,64.32046877078106
PD,knee_to_hip,2.0,3.5769551069827314,2.837765385707304,1.884981246093258,65.48877313387777
PD,knee_to_hip,2.1,3.755802862331868,2.9915910816971962,1.884981246093258,66.5829925439296
PD,knee_to_hip,2.2,3.9346506176810045,3.1480621110531994,1.884981246093258,67.60995729254303
PD,knee_to_hip,2.3,4.113498373030141,3.3068029800993743,1.884981246093258,68.57568307669396
PD,knee_to_hip,2.4,4.292346128379278,3.467501965756664,1.884981246093258,69.48548892061575
