family,scan,group,ko_scale,ku_scale,repeat,log_path,joint,u_star_rms,u_feedback_rms,u_eid_comp_rms,u_raw_rms,u_t_rms,tau_cmd_rms,tau_est_rms,tau_dist_rms
P4D,ko,o5,1.25,1.0,r02,data/20260623_192010/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Knee,1.1244435420574848,5.238957350468667,0.04702809128983293,5.681777707627983,5.602736861621425,2.8873898197513617,2.8178504195422347,3.6254923271746735
P4D,ko,o5,1.25,1.0,r03,data/20260623_192025/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Hip,2.579467903746479,5.826636912796492,0.030614770156933622,7.812964489844863,7.657956129945334,2.6992800084332,2.6671931501239574,5.439380520648486
P4D,ko,o5,1.25,1.0,r03,data/20260623_192025/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Knee,1.1236123878987485,5.310014865674931,0.047105629517809854,5.745666346841221,5.6328289467236745,2.9616653081471096,2.8986863251420028,3.6262536804323235
P4D,ku,u1,1.0,0.5,r01,data/20260623_192053/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Hip,2.5833860873276024,5.809649331843919,0.010765102728279935,7.8288584888673185,7.659596378758708,2.6574718457516346,2.641905729253381,5.440889841121648
P4D,ku,u1,1.0,0.5,r01,data/20260623_192053/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Knee,1.1245701558941712,5.239601957349735,0.023820514755788634,5.666120341994192,5.615309539490601,2.9073403426131446,2.8577468147307106,3.627259894081099
P4D,ku,u1,1.0,0.5,r02,data/20260623_192109/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Hip,2.5778089900942858,5.8326035328321755,0.010843704990973995,7.84375950305007,7.673954045236973,2.6791922505612655,2.6645107508435233,5.4372149327047286
P4D,ku,u1,1.0,0.5,r02,data/20260623_192109/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Knee,1.1241325656177363,5.269985328552721,0.023907340190610575,5.691578829556198,5.62246489588092,2.911646415012641,2.848552378481196,3.624809955136486
P4D,ku,u1,1.0,0.5,r03,data/20260623_192124/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Hip,2.5793879665661574,5.791772275518528,0.010408247605877429,7.802799554590447,7.661697581063072,2.6288648154194343,2.62050437903822,5.440068075060245
P4D,ku,u1,1.0,0.5,r03,data/20260623_192124/h1_real_p4_ku_u1_hip_knee_eid_log.csv,Knee,1.1238286753137168,5.216687131067617,0.02364168919593896,5.636522709170385,5.567320494667558,2.8351591907532123,2.7711431304024026,3.6267120500401635
P4D,ku,u2,1.0,0.75,r01,data/20260623_192139/h1_real_p4_ku_u2_hip_knee_eid_log.csv,Hip,2.582712416585058,5.911381731436029,0.018601617147021715,7.935297427521749,7.706643693934122,2.7482672856566603,2.7292674616321873,5.442134643511034
