method,repeat,joint,signal,freq_hz,amp
pd,r01,Hip,delta_tau_est,42.54811715481171,0.021570926441557014
pd,r01,Hip,delta_tau_est,42.96443514644351,0.022204908005330325
pd,r01,Hip,delta_tau_est,43.38075313807531,0.022592680304939702
pd,r01,Hip,delta_tau_est,43.79707112970711,0.02547631248098833
pd,r01,Hip,delta_tau_est,44.21338912133891,0.025260575975730212
pd,r01,Hip,delta_tau_est,44.62970711297071,0.019132274131385383
pd,r01,Hip,delta_tau_est,45.04602510460251,0.017941077172482355
pd,r01,Hip,delta_tau_est,45.46234309623431,0.019925592221323844
pd,r01,Hip,delta_tau_est,45.87866108786611,0.019257036461644922
pd,r01,Hip,delta_tau_est,46.29497907949791,0.01898685903991641
pd,r01,Hip,delta_tau_est,46.71129707112971,0.023618633048202123
pd,r01,Hip,delta_tau_est,47.12761506276151,0.025830166626274027
pd,r01,Hip,delta_tau_est,47.54393305439331,0.024448471963783677
pd,r01,Hip,delta_tau_est,47.96025104602511,0.023406299922449116
pd,r01,Hip,delta_tau_est,48.37656903765691,0.02253355236713521
pd,r01,Hip,delta_tau_est,48.79288702928871,0.03114718504748739
pd,r01,Hip,delta_tau_est,49.2092050209205,0.036929523513245764
pd,r01,Hip,delta_tau_est,49.6255230125523,0.028282354855975536
pd,r01,Hip,delta_tau_est,50.0418410041841,0.01909366348982006
pd,r01,Hip,delta_tau_est,50.4581589958159,0.00927188031196021
pd,r01,Hip,delta_tau_est,50.8744769874477,0.0110227371092694
pd,r01,Hip,delta_tau_est,51.2907949790795,0.01714870771811775
pd,r01,Hip,delta_tau_est,51.7071129707113,0.014116122018606687
pd,r01,Hip,delta_tau_est,52.12343096234309,0.012468647919334521
pd,r01,Hip,delta_tau_est,52.53974895397489,0.015131495235794467
pd,r01,Hip,delta_tau_est,52.95606694560669,0.018581280100920104
pd,r01,Hip,delta_tau_est,53.37238493723849,0.022758711618815333
pd,r01,Hip,delta_tau_est,53.78870292887029,0.024457045754534036
pd,r01,Hip,delta_tau_est,54.20502092050209,0.025565311338228675
pd,r01,Hip,delta_tau_est,54.62133891213389,0.028466799977843717
pd,r01,Hip,delta_tau_est,55.03765690376569,0.031590894305158566
pd,r01,Hip,delta_tau_est,55.453974895397494,0.03520247817578108
pd,r01,Hip,delta_tau_est,55.87029288702929,0.037446184236022036
pd,r01,Hip,delta_tau_est,56.28661087866109,0.03869170924075095
pd,r01,Hip,delta_tau_est,56.70292887029289,0.038842836688133243
pd,r01,Hip,delta_tau_est,57.11924686192469,0.03783036576163974
pd,r01,Hip,delta_tau_est,57.53556485355649,0.028844297048983975
pd,r01,Hip,delta_tau_est,57.95188284518829,0.021835499285913294
pd,r01,Hip,delta_tau_est,58.36820083682009,0.01816412105083003
pd,r01,Hip,delta_tau_est,58.78451882845188,0.012233283454100376
pd,r01,Hip,delta_tau_est,59.20083682008368,0.005013072094241502
pd,r01,Hip,delta_tau_est,59.61715481171548,0.013375785536482283
pd,r01,Hip,delta_tau_est,60.03347280334728,0.02302600890129214
